admin_area_1,admin_area_2,year,indicator_id,indicator_common_id,indicator_type,survey_value,source,source_detail,survey_type,X
Afghanistan,NATIONAL,2015,fe_frtr_w_tfr,tfr,rate,5.3,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,fe_frtr_w_cbr,crudebr,rate,36.8,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,fe_frty_w_npg,womenrepage,survey_count,42221,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,fp_srcm_w_tot,fp,percent,0.996,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,cm_ecmt_c_imr,imr,rate,45,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,cm_ecmr_c_nnr,nmr,rate,22,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,cm_pnmr_c_nsb,still,number,641,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,rh_ancp_w_skp,anc1,percent,0.61,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,rh_ancn_w_n01,anc1_old,percent,0.12,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,rh_ancn_w_n4p,anc4,percent,0.188,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,rh_delp_c_dhf,delivery,percent,0.543,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_bcg,bcg,percent,0.557,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_dp1,penta1,percent,0.599,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_dp3,penta3,percent,0.445,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_op1,polio1,percent,0.765,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_op2,polio2,percent,0.701,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_op3,polio3,percent,0.572,DHS National,AF2015DHS,household,
Afghanistan,NATIONAL,2015,ch_vac1_c_msl,measles1,percent,0.246,DHS National,AF2015DHS,household,
Bangladesh,NATIONAL,1994,fe_frtr_w_tfr,tfr,rate,3.4,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,fe_frtr_w_cbr,crudebr,rate,29.3,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,fe_frty_w_npg,womenrepage,survey_count,11138,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,fp_srcm_w_tot,fp,percent,1,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,cm_ecmt_c_imr,imr,rate,88,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,cm_ecmr_c_nnr,nmr,rate,52,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,cm_pnmr_c_nsb,still,number,207,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,rh_ancp_w_skp,anc1,percent,0.209,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,rh_ancn_w_n01,anc1_old,percent,0.09,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,rh_ancn_w_n4p,anc4,percent,0.059,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,rh_delp_c_dhf,delivery,percent,0.033,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_bcg,bcg,percent,0.826,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_dp1,penta1,percent,0.809,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_dp3,penta3,percent,0.64,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_op1,polio1,percent,0.82,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_op2,polio2,percent,0.757,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_op3,polio3,percent,0.652,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1994,ch_vac1_c_msl,measles1,percent,0.631,DHS National,BD1994DHS,household,
Bangladesh,NATIONAL,1997,fe_frtr_w_tfr,tfr,rate,3.3,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,fe_frtr_w_cbr,crudebr,rate,29.5,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,fe_frty_w_npg,womenrepage,survey_count,10707,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,fp_srcm_w_tot,fp,percent,1,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,cm_ecmt_c_imr,imr,rate,82,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,cm_ecmr_c_nnr,nmr,rate,48,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,cm_pnmr_c_nsb,still,number,203,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,rh_ancp_w_skp,anc1,percent,0.243,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,rh_ancn_w_n01,anc1_old,percent,0.102,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,rh_ancn_w_n4p,anc4,percent,0.069,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,rh_delp_c_dhf,delivery,percent,0.049,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_bcg,bcg,percent,0.865,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_dp1,penta1,percent,0.848,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_dp3,penta3,percent,0.716,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_op1,polio1,percent,0.862,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_op2,polio2,percent,0.812,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_op3,polio3,percent,0.623,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,1997,ch_vac1_c_msl,measles1,percent,0.343,DHS National,BD1997DHS,household,
Bangladesh,NATIONAL,2000,fe_frtr_w_tfr,tfr,rate,3.3,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,fe_frtr_w_cbr,crudebr,rate,30.2,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,fe_frty_w_npg,womenrepage,survey_count,12523,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,fp_srcm_w_tot,fp,percent,1,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,cm_ecmt_c_imr,imr,rate,66,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,cm_ecmr_c_nnr,nmr,rate,42,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,cm_pnmr_c_nsb,still,number,197,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,rh_ancp_w_skp,anc1,percent,0.272,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,rh_ancn_w_n01,anc1_old,percent,0.131,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,rh_ancn_w_n4p,anc4,percent,0.108,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,rh_delp_c_dhf,delivery,percent,0.096,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_bcg,bcg,percent,0.895,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_dp1,penta1,percent,0.878,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_dp3,penta3,percent,0.707,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_op1,polio1,percent,0.892,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_op2,polio2,percent,0.821,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_op3,polio3,percent,0.701,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2000,ch_vac1_c_msl,measles1,percent,0.345,DHS National,BD2000DHS,household,
Bangladesh,NATIONAL,2004,fe_frtr_w_tfr,tfr,rate,3,DHS National,BD2004DHS,household,
Bangladesh,NATIONAL,2004,fe_frtr_w_cbr,crudebr,rate,28.7,DHS National,BD2004DHS,household,
